group,label,f128_ns_per_iter,mpfr_ns_per_iter,mpfr_to_f128_ratio
f128 <-> f128,add,10.925000000000001,157.82499999999999,14.446224256292904
f128 <-> f128,subtract,10.675000000000001,162.6875,15.240046838407492
f128 <-> f128,multiply,11.9375,182.03125,15.24869109947644
f128 <-> f128,divide,14.114583333333334,228.48958333333334,16.188191881918819
f128 <-> f64,add,10.5625,194.19999999999999,18.385798816568045
f128 <-> f64,subtract,10.262499999999999,206.6875,20.140073081607795
f128 <-> f64,multiply,11.96875,218.875,18.287206266318538
f128 <-> f64,divide,12.395833333333334,262.44791666666669,21.172268907563026
f128 <-> f32,add,10.4625,192.67500000000001,18.415770609318997
f128 <-> f32,subtract,10.1875,212.91249999999999,20.899386503067483
f128 <-> f32,multiply,12.03125,228.875,19.023376623376624
f128 <-> f32,divide,12.5,272.55208333333331,21.804166666666664
f128 <-> i64,add,11.262499999999999,201.22499999999999,17.866814650388459
f128 <-> i64,subtract,10.625,204.96250000000001,19.29058823529412
f128 <-> i64,multiply,11.0625,228.78125,20.680790960451976
f128 <-> i64,divide,13.645833333333334,263.33333333333331,19.297709923664119
f128 <-> i32,add,10.550000000000001,203.94999999999999,19.331753554502367
f128 <-> i32,subtract,10.4,203.73750000000001,19.59014423076923
f128 <-> i32,multiply,12.09375,188.125,15.555555555555555
f128 <-> i32,divide,12.291666666666666,224.53125,18.266949152542374
Mixed Workloads,affine trig transform,292.96875,4573.4375,15.610666666666667
Mixed Workloads,mandelbrot kernel,19.864981712643754,566.79843767048396,28.532542635552769
Mixed Workloads,((x*x - y*y) + a) / (c + scalar),37.125,421.625,11.356902356902356
Mixed Workloads,((x*a + y*b) + c) / (c + scalar),41.041666666666664,1131.9791666666667,27.581218274111677
Mixed Workloads,((x*sa + y*sb) + a) / (c + scalar),34.791666666666664,1091.875,31.383233532934135
Mixed Workloads,((x + a) + b) / ((c + d) + scalar),33.125,848.125,25.60377358490566
Mixed Workloads,((x*a + y*b) + c*d) / ((c + d) + scalar),48.541666666666664,1296.3541666666667,26.706008583690991
Mixed Workloads,((x + scalar)*scalar + a) * (scalar*(y + scalar) - b),79.479166666666671,2290.9375,28.824377457404978
Mixed Workloads,((x*y + a*b) + c) / (c*c + scalar),41.458333333333336,1035.9375,24.987437185929647
Mixed Workloads,mixed workload average,69.821803523627082,1473.007696778202,24.509573364233212
Rounding,floor,11.050000000000001,150.82499999999999,13.649321266968323
Rounding,ceil,11.7875,159.58750000000001,13.538706256627785
Rounding,trunc,11.112500000000001,147.75,13.295838020247468
Rounding,round,11.300000000000001,180.98750000000001,16.016592920353983
Rounding,nearbyint,12.012499999999999,177.8125,14.80228928199792
Rounding,rint,12.0625,182.47499999999999,15.127461139896372
Rounding,lround,6.125,90.674999999999997,14.804081632653061
Rounding,llround,10.1625,147.94999999999999,14.558425584255842
Rounding,lrint,5.8499999999999996,86.662499999999994,14.814102564102564
Rounding,llrint,9.6875,150.05000000000001,15.489032258064517
Remainders,fmod,42.03125,314.375,7.4795539033457246
Remainders,remainder,107.34375,325,3.0276564774381369
Remainders,remquo,28.4375,353.90625,12.445054945054945
Floating-point utilities,abs,10.612500000000001,143.47499999999999,13.519434628975263
Floating-point utilities,fma,13.78125,241.78125,17.544217687074831
Floating-point utilities,fmin,10.612500000000001,163.125,15.371024734982331
Floating-point utilities,fmax,10.7125,150.84999999999999,14.081680280046674
Floating-point utilities,fdim,10.324999999999999,147.41249999999999,14.2772397094431
Floating-point utilities,copysign,10.4625,154.11250000000001,14.729988052568698
Floating-point utilities,ldexp,10.46875,156.796875,14.977611940298507
Floating-point utilities,scalbn,10.5,153.63749999999999,14.632142857142856
Floating-point utilities,scalbln,10.375,155.57499999999999,14.995180722891565
Floating-point utilities,frexp,12.675000000000001,180.83750000000001,14.267258382642998
Floating-point utilities,modf,12.75,420.11250000000001,32.950000000000003
Floating-point utilities,ilogb,11,23.787500000000001,2.1625000000000001
Floating-point utilities,logb,14.262499999999999,189.8125,13.308501314636285
Floating-point utilities,nextafter,10.9125,502.76249999999999,46.072164948453612
Floating-point utilities,nexttoward(type),11.387499999999999,496.02499999999998,43.55872667398463
Floating-point utilities,nexttoward(long double),10.6875,659.11249999999995,61.67134502923976
Roots & powers,sqrt,54.791666666666664,271.66666666666669,4.9581749049429664
Roots & powers,cbrt,85,657.65625,7.7371323529411766
Roots & powers,hypot,64.375,652,10.128155339805826
Roots & powers,pow,475.20833333333331,5451.25,11.471284524331434
Exponentials,exp,185.52083333333334,1797.0833333333333,9.6866928691746192
Exponentials,exp2,220.20833333333334,2021.6666666666667,9.1807000946073796
Exponentials,expm1,203.54166666666666,2365.1041666666665,11.619754350051178
Logarithms,log,271.97916666666669,2700.7291666666665,9.9299119111451546
Logarithms,log2,275.41666666666663,4109.6875,14.921709531013617
Logarithms,log10,513.125,7004.479166666667,13.650629313844906
Logarithms,log1p,270.72916666666663,2740.3125,10.121969988457101
Trigonometric,sin,114.47916666666667,2192.0833333333335,19.148316651501364
Trigonometric,cos,114.27083333333333,1674.6875,14.655423883318141
Trigonometric,tan,192.5,2532.2916666666665,13.154761904761903
Trigonometric,asin,329.6875,7528.125,22.834123222748815
Trigonometric,acos,315.15625,7583.75,24.063460585027268
Trigonometric,atan,236.24501329787233,5547.0827792553191,23.480211081794195
Trigonometric,atan2,264.399102393617,7019.9260305851067,26.550491159135564
Hyperbolic,sinh,208.875,2144.75,10.268102932375823
Hyperbolic,cosh,205.375,2031,9.8892270237370656
Hyperbolic,tanh,219.5,2256,10.277904328018224
Inverse hyperbolic,asinh,364.625,8920,24.463489886870072
Inverse hyperbolic,acosh,372.875,3870.375,10.37981897418706
Inverse hyperbolic,atanh,280.75,4459,15.882457702582368
Special functions,erfc,1455,16567.5,11.38659793814433
Special functions,erf,1433.3333333333333,9331.25,6.5101744186046515
Special functions,tgamma,748.4375,12699.479166666666,16.967988865692416
Special functions,lgamma,824.47916666666663,14961.458333333334,18.146557169930514
