group,label,f128_ns_per_iter,mpfr_ns_per_iter,mpfr_to_f128_ratio
f128 <-> f128,add,13.01074,120.16184,9.235588444623442
f128 <-> f128,subtract,12.971105,116.367295,8.9712707591219107
f128 <-> f128,multiply,13.0055125,117.8077875,9.0582964339160039
f128 <-> f128,divide,15.385958333333333,141.09252083333334,9.1702133709578266
f128 <-> f64,add,12.42356,154.15515500000001,12.40829158469875
f128 <-> f64,subtract,14.242759999999999,155.18365,10.89561643951032
f128 <-> f64,multiply,12.467212499999999,156.36981249999999,12.542483935362457
f128 <-> f64,divide,14.966937499999998,179.31637499999999,11.980832752191288
f128 <-> f32,add,12.443485000000001,154.07384500000001,12.381888594714422
f128 <-> f32,subtract,14.310745000000001,155.052605,10.834698333315281
f128 <-> f32,multiply,12.410062499999999,156.76025000000001,12.63170511832636
f128 <-> f32,divide,15.004375000000001,176.31381250000001,11.750826842171033
f128 <-> i64,add,12.742665000000001,159.467365,12.51444379962904
f128 <-> i64,subtract,13.690224999999998,161.72024999999999,11.81282630490003
f128 <-> i64,multiply,12.757925,159.30733749999999,12.486931652286716
f128 <-> i64,divide,15.836854166666665,186.15025,11.754244122030761
f128 <-> i32,add,12.634065,138.709935,10.979042374722626
f128 <-> i32,subtract,14.509715,144.10467,9.9315989321637268
f128 <-> i32,multiply,12.574512499999999,132.78098750000001,10.559533620090642
f128 <-> i32,divide,15.162270833333332,155.16866666666667,10.233867233497621
Mixed Workloads,affine trig transform,186.4975,2497.6040625000001,13.392158406949155
Mixed Workloads,mandelbrot kernel,15.443637056864336,263.22248647636809,17.044073588829377
Mixed Workloads,((x*x - y*y) + a) / (c + scalar),21.607089999999999,472.76566000000003,21.880117128220416
Mixed Workloads,((x*a + y*b) + c) / (c + scalar),22.842375000000001,659.92904166666665,28.890561584190202
Mixed Workloads,((x*sa + y*sb) + a) / (c + scalar),18.869333333333334,757.58474999999999,40.148993958451101
Mixed Workloads,((x + a) + b) / ((c + d) + scalar),20.701791666666665,541.5768333333333,26.160867718776355
Mixed Workloads,((x*a + y*b) + c*d) / ((c + d) + scalar),27.062708333333333,807.44770833333337,29.836175241145181
