group,label,f256_ns_per_iter,mpfr_ns_per_iter,mpfr_to_f256_ratio
f256 <-> f256,add,28.253333333333334,205.36541666666668,7.2687146059462009
f256 <-> f256,subtract,29.847916666666666,205.31083333333333,6.8785649473022961
f256 <-> f256,multiply,36.165624999999999,279.97187500000001,7.7413808001382538
f256 <-> f256,divide,85.798437500000006,254.47812500000001,2.9659995265065286
f256 <-> f128,add,27.546666666666667,370.54000000000002,13.45135527589545
f256 <-> f128,subtract,29.445416666666667,376.84458333333333,12.798072705146529
f256 <-> f128,multiply,38.552083333333336,521.22916666666663,13.520129694677113
f256 <-> f128,divide,83.4765625,463.60781250000002,5.5537482452035567
f256 <-> f64,add,25.567083333333333,286.51249999999999,11.206303678232102
f256 <-> f64,subtract,25.670000000000002,296.69,11.557849629918191
f256 <-> f64,multiply,42.215624999999996,319.94166666666666,7.578749969156366
f256 <-> f64,divide,84.832812500000003,402.49531250000001,4.7445711233492345
f256 <-> f32,add,25.517083333333332,289.07499999999999,11.328685031269901
f256 <-> f32,subtract,25.849166666666665,290.55708333333331,11.240481640284987
f256 <-> f32,multiply,41.771875000000001,313.69270833333331,7.5096631006708057
f256 <-> f32,divide,84.657812500000006,418.32968749999998,4.9414185784684665
f256 <-> i64,add,32.962499999999999,284.16208333333333,8.6207685501200864
f256 <-> i64,subtract,31.12875,289.54583333333335,9.3015567066886184
f256 <-> i64,multiply,37.554166666666667,303.03541666666666,8.0692888050593581
f256 <-> i64,divide,94.056250000000006,426.46249999999998,4.5341218685626945
f256 <-> i32,add,25.605,285.17750000000001,11.137570786955672
f256 <-> i32,subtract,26.024583333333332,288.27666666666664,11.077090571414848
f256 <-> i32,multiply,40.44895833333333,276.55729166666669,6.8371919342793142
f256 <-> i32,divide,84.674999999999997,344.21406250000001,4.0651203129613229
Arithmetic,mixed recurrence,259.79599999999999,900.16800000000001,3.464903231766463
Arithmetic,fused mixed expression,322.51041666666669,1410.0729166666667,4.3721779012305806
Arithmetic,scalar mixed recurrence,539.8125,2376.6416666666669,4.4027169927829881
Rounding,floor,23.837916666666668,247.17124999999999,10.368827672999947
Rounding,ceil,24.182500000000001,252.13999999999999,10.42654812364313
Rounding,trunc,24.364999999999998,246.74208333333334,10.126906765168616
Rounding,round,36.207500000000003,307.69375000000002,8.4980666988883513
Rounding,nearbyint,35.600833333333334,674.29791666666665,18.94050935137286
Rounding,rint,33.678750000000001,710.22541666666666,21.088235657994037
Rounding,lround,4.4077500000000001,197.83725000000001,44.883954398502638
Rounding,llround,20.325250000000004,241.98925,11.905843716559449
Rounding,lrint,4.4669999999999996,156.52924999999999,35.041246921871505
Rounding,llrint,23.161249999999999,248.80525,10.742306654433591
Remainders,fmod,170.50624999999999,492.41874999999999,2.8879806458707526
Remainders,remainder,138.77160904255319,872.17420212765956,6.2849613703060427
Remainders,remquo,153.27812499999999,573.63125000000002,3.7424208444616611
Floating-point utilities,abs,25.992249999999999,240.54474999999999,9.2544797006800099
Floating-point utilities,fma,48.343125000000001,317.16624999999999,6.5607312311729951
Floating-point utilities,fmin,25.132750000000001,271.18599999999998,10.790144333588643
Floating-point utilities,fmax,25.52975,310.79624999999999,12.173885369030248
Floating-point utilities,fdim,27.873999999999999,249.399,8.9473703092487629
Floating-point utilities,copysign,25.122,271.14049999999997,10.792950402038054
Floating-point utilities,ldexp,30.825781249999999,259.12968749999999,8.4062650480269667
Floating-point utilities,scalbn,30.23875,253.59899999999999,8.3865569840023149
Floating-point utilities,scalbln,31.56325,263.803,8.3579162475347122
Floating-point utilities,frexp,38.528750000000002,262.21449999999999,6.8056840670927548
Floating-point utilities,modf,52.889499999999998,637.91525000000001,12.061283430548597
Floating-point utilities,ilogb,14.664999999999999,39.826000000000001,2.7157176951926356
Floating-point utilities,logb,25.9605,295.85874999999999,11.396496600604765
Floating-point utilities,nextafter,26.109999999999999,898.25400000000002,34.402680965147454
Floating-point utilities,nexttoward(type),26.23875,891.70399999999995,33.984240865132676
Floating-point utilities,nexttoward(long double),25.748000000000001,1032.79775,40.111765962404846
