group,label,precision,operation,domain,domain_role,samples,primary_competitor,primary_competitor_supported,fltx_worst_bits,fltx_mean_bits,fltx_domain_score,fltx_inf_nan_correct,competitor_worst_bits,competitor_mean_bits,competitor_domain_score,competitor_inf_nan_correct,precision_gap_bits,domain_gap_pp,fltx_ns_iter,competitor_ns_iter,speed_ratio,preferred_reference,preferred_mean_gap_bits,preferred_worst_gap_bits,preferred_domain_gap_pp,preferred_speed_ratio,qdpp (qd_real)_supported,qdpp (qd_real)_worst_bits,qdpp (qd_real)_mean_bits,qdpp (qd_real)_domain_score,qdpp (qd_real)_inf_nan_correct,qdpp (qd_real)_gap_bits,qdpp (qd_real)_domain_gap_pp,qdpp (qd_real)_ns_iter,qdpp (qd_real)_speed_ratio
f256 <-> f256,add,f256,add,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,12.5874,34.4355,2.73572,boost::multiprecision::mpfr_float_backend<64>,-,-,-,2.73572,yes,-,-,-,-,-,-,36.3829,2.89043
f256 <-> f256,subtract,f256,subtract,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,12.7807,33.7261,2.63884,boost::multiprecision::mpfr_float_backend<64>,-,-,-,2.63884,yes,-,-,-,-,-,-,38.5622,3.01723
f256 <-> f256,multiply,f256,multiply,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,28.7621,38.9056,1.35267,qdpp (qd_real),-,-,-,1.05379,yes,-,-,-,-,-,-,30.3093,1.05379
f256 <-> f256,divide,f256,divide,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,81.7956,64.9804,0.794424,boost::multiprecision::mpfr_float_backend<64>,-,-,-,0.794424,yes,-,-,-,-,-,-,316.947,3.87487
Mixed Workloads,affine trig transform,f256,affine transform,mixed,stress,28,boost::multiprecision::mpfr_float_backend<64>,yes,211.085,211.715,99.6764,-,214.628,215.967,100,-,-3.54282,-0.323583,1182.24,2490.22,2.10636,boost::multiprecision::mpfr_float_backend<64>,-4.25129,-3.54282,-0.323583,2.10636,yes,216.748,218.127,100,-,-5.66305,-0.323583,3174.02,2.68476
Mixed Workloads,mandelbrot kernel,f256,mandelbrot,mixed,stress,3072,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,150.419,180.734,1.20153,boost::multiprecision::mpfr_float_backend<64>,0,0,0,1.20153,yes,exact,320,100,-,0,0,219.426,1.45876
Mixed Workloads,mixed arithmetic,f256,mixed arithmetic,mixed,stress,196,boost::multiprecision::mpfr_float_backend<64>,yes,206.62,213.861,99.5384,-,207.146,214.099,99.596,-,-0.526346,-0.0576514,359.611,513.784,1.42872,boost::multiprecision::mpfr_float_backend<64>,-0.238925,-0.526346,-0.0576514,1.42872,yes,208.541,216.957,99.7676,-,-1.92155,-0.229226,1055.15,2.93413
Rounding,floor,f256,floor,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,8.60284,20.5249,2.38583,qdpp (qd_real),-,-,-,0.981453,yes,-,-,-,-,-,-,8.44328,0.981453
Rounding,ceil,f256,ceil,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,8.45128,20.544,2.43087,qdpp (qd_real),-,-,-,1.01279,yes,-,-,-,-,-,-,8.55935,1.01279
Rounding,trunc,f256,trunc,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,8.511,20.2311,2.37706,qdpp (qd_real),-,-,-,0.995939,yes,-,-,-,-,-,-,8.47643,0.995939
