group,label,precision,operation,domain,domain_role,samples,primary_competitor,primary_competitor_supported,fltx_worst_bits,fltx_mean_bits,fltx_domain_score,fltx_inf_nan_correct,competitor_worst_bits,competitor_mean_bits,competitor_domain_score,competitor_inf_nan_correct,precision_gap_bits,domain_gap_pp,fltx_ns_iter,competitor_ns_iter,speed_ratio,preferred_reference,preferred_mean_gap_bits,preferred_worst_gap_bits,preferred_domain_gap_pp,preferred_speed_ratio,qdpp (dd_real)_supported,qdpp (dd_real)_worst_bits,qdpp (dd_real)_mean_bits,qdpp (dd_real)_domain_score,qdpp (dd_real)_inf_nan_correct,qdpp (dd_real)_gap_bits,qdpp (dd_real)_domain_gap_pp,qdpp (dd_real)_ns_iter,qdpp (dd_real)_speed_ratio
f128 <-> f128,add,f128,add,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.32447,7.21995,1.66956,qdpp (dd_real),-,-,-,0.985019,yes,-,-,-,-,-,-,4.25968,0.985019
f128 <-> f128,subtract,f128,subtract,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.26245,7.65955,1.79698,qdpp (dd_real),-,-,-,1.0043,yes,-,-,-,-,-,-,4.2808,1.0043
f128 <-> f128,multiply,f128,multiply,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.26799,12.1516,2.84715,qdpp (dd_real),-,-,-,1.00416,yes,-,-,-,-,-,-,4.28574,1.00416
f128 <-> f128,divide,f128,divide,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.27868,13.168,3.07758,boost::multiprecision::cpp_double_double,-,-,-,3.07758,yes,-,-,-,-,-,-,14.3782,3.36042
Mixed Workloads,affine trig transform,f128,affine transform,mixed,stress,28,boost::multiprecision::cpp_double_double,yes,109.179,109.227,100,-,105.205,107.24,99.4373,-,3.97402,0.562711,135.019,1489.45,11.0314,qdpp (dd_real),2.49603,4.99207,1.28303,2.24878,yes,104.187,106.731,98.717,-,4.99207,1.28303,303.628,2.24878
Mixed Workloads,mandelbrot kernel,f128,mandelbrot,mixed,stress,3072,boost::multiprecision::cpp_double_double,yes,3.41619,152.228,51.3273,-,3.54951,152.561,51.36,-,-0.133319,-0.0326876,13.2834,28.3687,2.13565,qdpp (dd_real),1.83759,-0.185565,0.724835,1.13037,yes,3.60175,150.39,50.6024,-,-0.185565,0.724835,15.0152,1.13037
Mixed Workloads,mixed arithmetic,f128,mixed arithmetic,mixed,stress,196,boost::multiprecision::cpp_double_double,yes,99.4338,107.795,99.1173,-,99.4338,107.795,99.1173,-,0,0,39.7098,113.542,2.85929,qdpp (dd_real),1.97331,2.99741,1.00997,2.27529,yes,96.4364,105.821,98.1073,-,2.99741,1.00997,90.3511,2.27529
Rounding,floor,f128,floor,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.26425,4.24791,0.996168,boost::multiprecision::cpp_double_double,-,-,-,0.996168,yes,-,-,-,-,-,-,4.25035,0.99674
Rounding,ceil,f128,ceil,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.27945,4.29012,1.00249,qdpp (dd_real),-,-,-,0.990511,yes,-,-,-,-,-,-,4.23884,0.990511
Rounding,trunc,f128,trunc,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,5.51992,6.91569,1.25286,qdpp (dd_real),-,-,-,0.772757,yes,-,-,-,-,-,-,4.26556,0.772757
