group,label,precision,operation,domain,domain_role,samples,primary_competitor,primary_competitor_supported,fltx_worst_bits,fltx_mean_bits,fltx_domain_score,fltx_inf_nan_correct,competitor_worst_bits,competitor_mean_bits,competitor_domain_score,competitor_inf_nan_correct,precision_gap_bits,domain_gap_pp,fltx_ns_iter,competitor_ns_iter,speed_ratio,preferred_reference,preferred_mean_gap_bits,preferred_worst_gap_bits,preferred_domain_gap_pp,preferred_speed_ratio,qdpp (qd_real)_supported,qdpp (qd_real)_worst_bits,qdpp (qd_real)_mean_bits,qdpp (qd_real)_domain_score,qdpp (qd_real)_inf_nan_correct,qdpp (qd_real)_gap_bits,qdpp (qd_real)_domain_gap_pp,qdpp (qd_real)_ns_iter,qdpp (qd_real)_speed_ratio
f256 <-> f256,add,f256,add,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,13.3966,33.5339,2.50316,boost::multiprecision::mpfr_float_backend<64>,-,-,-,2.50316,yes,-,-,-,-,-,-,41.1397,3.0709
f256 <-> f256,subtract,f256,subtract,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,13.5713,33.9272,2.49993,boost::multiprecision::mpfr_float_backend<64>,-,-,-,2.49993,yes,-,-,-,-,-,-,42.8735,3.15914
f256 <-> f256,multiply,f256,multiply,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,18.0966,38.3351,2.11837,boost::multiprecision::mpfr_float_backend<64>,-,-,-,2.11837,yes,-,-,-,-,-,-,41.7052,2.30459
f256 <-> f256,divide,f256,divide,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,74.8011,67.2595,0.899178,boost::multiprecision::mpfr_float_backend<64>,-,-,-,0.899178,yes,-,-,-,-,-,-,354.002,4.73257
Mixed Workloads,affine trig transform,f256,affine transform,mixed,stress,28,boost::multiprecision::mpfr_float_backend<64>,yes,211.085,211.715,99.6764,-,214.628,215.967,100,-,-3.54282,-0.323583,1223.38,2490.24,2.03555,boost::multiprecision::mpfr_float_backend<64>,-4.25129,-3.54282,-0.323583,2.03555,yes,216.748,218.127,100,-,-5.66305,-0.323583,3719.61,3.04044
Mixed Workloads,mandelbrot kernel,f256,mandelbrot,mixed,stress,3072,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,130.626,185.84,1.42269,boost::multiprecision::mpfr_float_backend<64>,0,0,0,1.42269,yes,exact,320,100,-,0,0,219.943,1.68376
Mixed Workloads,mixed arithmetic,f256,mixed arithmetic,mixed,stress,196,boost::multiprecision::mpfr_float_backend<64>,yes,205.264,213.582,99.4457,-,207.626,213.954,99.6266,-,-2.36159,-0.180957,367.317,515.311,1.4029,boost::multiprecision::mpfr_float_backend<64>,-0.372262,-2.36159,-0.180957,1.4029,yes,209.969,217.238,99.8643,-,-4.70507,-0.418591,1245.74,3.39145
Rounding,floor,f256,floor,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,8.46332,20.3529,2.40484,qdpp (qd_real),-,-,-,1.00478,yes,-,-,-,-,-,-,8.50375,1.00478
Rounding,ceil,f256,ceil,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,8.50303,20.3774,2.39648,qdpp (qd_real),-,-,-,1.01,yes,-,-,-,-,-,-,8.58808,1.01
Rounding,trunc,f256,trunc,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,8.619,19.8062,2.29797,qdpp (qd_real),-,-,-,0.992789,yes,-,-,-,-,-,-,8.55684,0.992789
