group,label,precision,operation,domain,domain_role,samples,primary_competitor,primary_competitor_supported,fltx_worst_bits,fltx_mean_bits,fltx_domain_score,fltx_inf_nan_correct,competitor_worst_bits,competitor_mean_bits,competitor_domain_score,competitor_inf_nan_correct,precision_gap_bits,domain_gap_pp,fltx_ns_iter,competitor_ns_iter,speed_ratio,preferred_reference,preferred_mean_gap_bits,preferred_worst_gap_bits,preferred_domain_gap_pp,preferred_speed_ratio,qdpp (dd_real)_supported,qdpp (dd_real)_worst_bits,qdpp (dd_real)_mean_bits,qdpp (dd_real)_domain_score,qdpp (dd_real)_inf_nan_correct,qdpp (dd_real)_gap_bits,qdpp (dd_real)_domain_gap_pp,qdpp (dd_real)_ns_iter,qdpp (dd_real)_speed_ratio
f128 <-> f128,add,f128,add,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,7.38841,7.04947,0.954126,qdpp (dd_real),-,-,-,0.945035,yes,-,-,-,-,-,-,6.98231,0.945035
f128 <-> f128,subtract,f128,subtract,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,6.97113,7.0309,1.00857,qdpp (dd_real),-,-,-,1.00453,yes,-,-,-,-,-,-,7.00274,1.00453
f128 <-> f128,multiply,f128,multiply,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,6.9574,7.03513,1.01117,qdpp (dd_real),-,-,-,1.00487,yes,-,-,-,-,-,-,6.99125,1.00487
f128 <-> f128,divide,f128,divide,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,6.98957,7.01707,1.00393,boost::multiprecision::cpp_double_double,-,-,-,1.00393,yes,-,-,-,-,-,-,15.6406,2.23771
Mixed Workloads,affine trig transform,f128,affine transform,mixed,stress,28,boost::multiprecision::cpp_double_double,yes,109.276,110.689,100,-,105.205,107.24,99.4373,-,4.07101,0.562711,202.281,1847.24,9.13209,qdpp (dd_real),3.95738,5.08906,1.28303,2.14035,yes,104.187,106.731,98.717,-,5.08906,1.28303,432.951,2.14035
Mixed Workloads,mandelbrot kernel,f128,mandelbrot,mixed,stress,3072,boost::multiprecision::cpp_double_double,yes,3.41619,152.228,51.3273,-,3.54951,152.561,51.36,-,-0.133319,-0.0326876,30.032,34.0933,1.13523,qdpp (dd_real),1.83759,-0.185565,0.724835,0.960146,yes,3.60175,150.39,50.6024,-,-0.185565,0.724835,28.8351,0.960146
Mixed Workloads,mixed arithmetic,f128,mixed arithmetic,mixed,stress,196,boost::multiprecision::cpp_double_double,yes,101.15,107.768,99.3608,-,101.15,107.768,99.3608,-,0,0,35.378,75.9132,2.14577,boost::multiprecision::cpp_double_double,0,0,0,2.14577,yes,97.9223,106.017,98.3071,-,3.22762,1.05362,105.541,2.98323
Rounding,floor,f128,floor,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,6.97104,6.87461,0.986167,boost::multiprecision::cpp_double_double,-,-,-,0.986167,yes,-,-,-,-,-,-,6.93121,0.994286
Rounding,ceil,f128,ceil,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,6.96435,6.87365,0.986976,boost::multiprecision::cpp_double_double,-,-,-,0.986976,yes,-,-,-,-,-,-,6.95483,0.998633
Rounding,trunc,f128,trunc,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,6.98719,6.88265,0.985038,boost::multiprecision::cpp_double_double,-,-,-,0.985038,yes,-,-,-,-,-,-,6.94698,0.994246
Rounding,round,f128,round,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,6.98905,7.8415,1.12197,qdpp (dd_real),-,-,-,0.997043,yes,-,-,-,-,-,-,6.96838,0.997043
Rounding,nearbyint,f128,nearbyint,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,6.98073,7.44419,1.06639,qdpp (dd_real),-,-,-,0.990765,yes,-,-,-,-,-,-,6.91627,0.990765
Rounding,rint,f128,rint,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,6.96743,7.51065,1.07797,qdpp (dd_real),-,-,-,0.987945,yes,-,-,-,-,-,-,6.88344,0.987945
Rounding,lround,f128,lround,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,8.85377,1589.05,179.478,boost::multiprecision::cpp_double_double,-,-,-,179.478,no,-,-,-,-,-,-,-,-
Rounding,llround,f128,llround,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,9.11003,1590.04,174.537,boost::multiprecision::cpp_double_double,-,-,-,174.537,no,-,-,-,-,-,-,-,-
Rounding,lrint,f128,lrint,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,10.2165,1592.35,155.861,boost::multiprecision::cpp_double_double,-,-,-,155.861,no,-,-,-,-,-,-,-,-
Rounding,llrint,f128,llrint,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,10.0732,1590.31,157.876,boost::multiprecision::cpp_double_double,-,-,-,157.876,no,-,-,-,-,-,-,-,-
Remainders,fmod,f128,fmod,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,34.2761,64.0202,1.86778,qdpp (dd_real),-,-,-,1.02837,yes,-,-,-,-,-,-,35.2487,1.02837
Remainders,remainder,f128,remainder,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,38.8579,66.2564,1.7051,qdpp (dd_real),-,-,-,0.819717,yes,-,-,-,-,-,-,31.8525,0.819717
Remainders,remquo,f128,remquo,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,39.1299,66.3852,1.69654,boost::multiprecision::cpp_double_double,-,-,-,1.69654,no,-,-,-,-,-,-,-,-
