group,label,precision,operation,domain,domain_role,samples,primary_competitor,primary_competitor_supported,fltx_worst_bits,fltx_mean_bits,fltx_domain_score,fltx_inf_nan_correct,competitor_worst_bits,competitor_mean_bits,competitor_domain_score,competitor_inf_nan_correct,precision_gap_bits,domain_gap_pp,fltx_ns_iter,competitor_ns_iter,speed_ratio,preferred_reference,preferred_mean_gap_bits,preferred_worst_gap_bits,preferred_domain_gap_pp,preferred_speed_ratio,qdpp (qd_real)_supported,qdpp (qd_real)_worst_bits,qdpp (qd_real)_mean_bits,qdpp (qd_real)_domain_score,qdpp (qd_real)_inf_nan_correct,qdpp (qd_real)_gap_bits,qdpp (qd_real)_domain_gap_pp,qdpp (qd_real)_ns_iter,qdpp (qd_real)_speed_ratio
f256 <-> f256,add,f256,add,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,15.5628,51.1527,3.28686,qdpp (qd_real),-,-,-,2.80061,yes,-,-,-,-,-,-,43.5854,2.80061
f256 <-> f256,subtract,f256,subtract,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,15.6269,51.5663,3.29983,qdpp (qd_real),-,-,-,2.95126,yes,-,-,-,-,-,-,46.1192,2.95126
f256 <-> f256,multiply,f256,multiply,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,20.8341,68.5034,3.28804,qdpp (qd_real),-,-,-,1.67294,yes,-,-,-,-,-,-,34.8541,1.67294
f256 <-> f256,divide,f256,divide,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,123.669,118.107,0.955028,boost::multiprecision::mpfr_float_backend<64>,-,-,-,0.955028,yes,-,-,-,-,-,-,401.255,3.24459
Mixed Workloads,affine trig transform,f256,affine transform,mixed,stress,28,boost::multiprecision::mpfr_float_backend<64>,yes,211.085,211.715,99.6764,-,214.628,215.967,100,-,-3.54282,-0.323583,1498.79,4195.39,2.79919,qdpp (qd_real),-6.41207,-5.66305,-0.323583,2.776,yes,216.748,218.127,100,-,-5.66305,-0.323583,4160.64,2.776
Mixed Workloads,mandelbrot kernel,f256,mandelbrot,mixed,stress,3072,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,159.19,382.972,2.40575,qdpp (qd_real),0,0,0,1.90559,yes,exact,320,100,-,0,0,303.352,1.90559
Mixed Workloads,mixed arithmetic,f256,mixed arithmetic,mixed,stress,196,boost::multiprecision::mpfr_float_backend<64>,yes,206.62,213.861,99.5384,-,207.146,214.099,99.596,-,-0.526346,-0.0576514,517.459,1158.37,2.23858,boost::multiprecision::mpfr_float_backend<64>,-0.238925,-0.526346,-0.0576514,2.23858,yes,208.541,216.957,99.7676,-,-1.92155,-0.229226,1463.72,2.82866
Rounding,floor,f256,floor,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,14.0361,43.058,3.06766,qdpp (qd_real),-,-,-,0.983469,yes,-,-,-,-,-,-,13.8041,0.983469
Rounding,ceil,f256,ceil,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,14.0206,43.2234,3.08285,qdpp (qd_real),-,-,-,0.984937,yes,-,-,-,-,-,-,13.8094,0.984937
Rounding,trunc,f256,trunc,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,13.9957,40.7249,2.90981,qdpp (qd_real),-,-,-,0.984435,yes,-,-,-,-,-,-,13.7779,0.984435
Rounding,round,f256,round,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,13.9915,94.3857,6.74594,qdpp (qd_real),-,-,-,0.981623,yes,-,-,-,-,-,-,13.7344,0.981623
Rounding,nearbyint,f256,nearbyint,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,13.9893,94.6946,6.76909,qdpp (qd_real),-,-,-,0.983365,yes,-,-,-,-,-,-,13.7565,0.983365
Rounding,rint,f256,rint,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,14.0358,95.1168,6.77672,qdpp (qd_real),-,-,-,0.978348,yes,-,-,-,-,-,-,13.7319,0.978348
Rounding,lround,f256,lround,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,9.27102,130.382,14.0634,boost::multiprecision::mpfr_float_backend<64>,-,-,-,14.0634,no,-,-,-,-,-,-,-,-
Rounding,llround,f256,llround,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,9.29331,131.217,14.1195,boost::multiprecision::mpfr_float_backend<64>,-,-,-,14.1195,no,-,-,-,-,-,-,-,-
Rounding,lrint,f256,lrint,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,10.5362,130.027,12.341,boost::multiprecision::mpfr_float_backend<64>,-,-,-,12.341,no,-,-,-,-,-,-,-,-
Rounding,llrint,f256,llrint,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,10.4028,130.918,12.5848,boost::multiprecision::mpfr_float_backend<64>,-,-,-,12.5848,no,-,-,-,-,-,-,-,-
Remainders,fmod,f256,fmod,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,140.92,174.285,1.23676,boost::multiprecision::mpfr_float_backend<64>,-,-,-,1.23676,yes,-,-,-,-,-,-,507.848,3.60379
Remainders,remainder,f256,remainder,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,181.391,200.59,1.10584,boost::multiprecision::mpfr_float_backend<64>,-,-,-,1.10584,yes,-,-,-,-,-,-,525.326,2.8961
Remainders,remquo,f256,remquo,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,183.136,208.296,1.13738,boost::multiprecision::mpfr_float_backend<64>,-,-,-,1.13738,no,-,-,-,-,-,-,-,-
