group,label,precision,operation,domain,domain_role,samples,primary_competitor,primary_competitor_supported,fltx_worst_bits,fltx_mean_bits,fltx_domain_score,fltx_inf_nan_correct,competitor_worst_bits,competitor_mean_bits,competitor_domain_score,competitor_inf_nan_correct,precision_gap_bits,domain_gap_pp,fltx_ns_iter,competitor_ns_iter,speed_ratio,preferred_reference,preferred_mean_gap_bits,preferred_worst_gap_bits,preferred_domain_gap_pp,preferred_speed_ratio,qdpp (dd_real)_supported,qdpp (dd_real)_worst_bits,qdpp (dd_real)_mean_bits,qdpp (dd_real)_domain_score,qdpp (dd_real)_inf_nan_correct,qdpp (dd_real)_gap_bits,qdpp (dd_real)_domain_gap_pp,qdpp (dd_real)_ns_iter,qdpp (dd_real)_speed_ratio
f128 <-> f128,add,f128,add,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.29863,4.35701,1.01358,boost::multiprecision::cpp_double_double,-,-,-,1.01358,yes,-,-,-,-,-,-,5.83332,1.35702
f128 <-> f128,subtract,f128,subtract,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.30093,4.34054,1.00921,boost::multiprecision::cpp_double_double,-,-,-,1.00921,yes,-,-,-,-,-,-,5.79217,1.34673
f128 <-> f128,multiply,f128,multiply,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.38411,6.20819,1.41606,qdpp (dd_real),-,-,-,1.37954,yes,-,-,-,-,-,-,6.04806,1.37954
f128 <-> f128,divide,f128,divide,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.56724,6.40529,1.40244,boost::multiprecision::cpp_double_double,-,-,-,1.40244,yes,-,-,-,-,-,-,14.447,3.16318
Mixed Workloads,affine trig transform,f128,affine transform,mixed,stress,28,boost::multiprecision::cpp_double_double,yes,109.179,109.227,100,-,105.205,107.24,99.4373,-,3.97402,0.562711,223.201,1376.62,6.1676,qdpp (dd_real),2.49603,4.99207,1.28303,1.17453,yes,104.187,106.731,98.717,-,4.99207,1.28303,262.156,1.17453
Mixed Workloads,mandelbrot kernel,f128,mandelbrot,mixed,stress,3072,boost::multiprecision::cpp_double_double,yes,3.41619,152.228,51.3273,-,3.54951,152.561,51.36,-,-0.133319,-0.0326876,30.497,36.573,1.19923,qdpp (dd_real),1.83759,-0.185565,0.724835,0.770691,yes,3.60175,150.39,50.6024,-,-0.185565,0.724835,23.5038,0.770691
Mixed Workloads,mixed arithmetic,f128,mixed arithmetic,mixed,stress,196,boost::multiprecision::cpp_double_double,yes,0,93.2871,85.7143,-,101.15,107.768,99.3608,-,-101.15,-13.6465,59.106,87.9833,1.48857,boost::multiprecision::cpp_double_double,-14.4805,-101.15,-13.6465,1.48857,yes,97.9223,106.017,98.3071,-,-97.9223,-12.5929,87.5716,1.4816
Rounding,floor,f128,floor,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.26116,4.23386,0.993595,boost::multiprecision::cpp_double_double,-,-,-,0.993595,yes,-,-,-,-,-,-,4.23851,0.994685
Rounding,ceil,f128,ceil,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.24824,4.33073,1.01942,qdpp (dd_real),-,-,-,1.00134,yes,-,-,-,-,-,-,4.25394,1.00134
Rounding,trunc,f128,trunc,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,5.56286,6.47878,1.16465,qdpp (dd_real),-,-,-,0.854796,yes,-,-,-,-,-,-,4.75511,0.854796
Rounding,round,f128,round,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,8.34532,10.9342,1.31022,boost::multiprecision::cpp_double_double,-,-,-,1.31022,yes,-,-,-,-,-,-,11.4776,1.37533
Rounding,nearbyint,f128,nearbyint,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,7.65108,10.7953,1.41095,boost::multiprecision::cpp_double_double,-,-,-,1.41095,yes,-,-,-,-,-,-,11.4747,1.49975
Rounding,rint,f128,rint,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,7.53361,10.7843,1.4315,boost::multiprecision::cpp_double_double,-,-,-,1.4315,yes,-,-,-,-,-,-,11.4449,1.51918
Rounding,lround,f128,lround,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,9.0376,20.7584,2.29689,boost::multiprecision::cpp_double_double,-,-,-,2.29689,no,-,-,-,-,-,-,-,-
Rounding,llround,f128,llround,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,8.92641,653.192,73.1752,boost::multiprecision::cpp_double_double,-,-,-,73.1752,no,-,-,-,-,-,-,-,-
Rounding,lrint,f128,lrint,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,11.1358,20.6532,1.85466,boost::multiprecision::cpp_double_double,-,-,-,1.85466,no,-,-,-,-,-,-,-,-
Rounding,llrint,f128,llrint,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,11.0696,621.943,56.1846,boost::multiprecision::cpp_double_double,-,-,-,56.1846,no,-,-,-,-,-,-,-,-
Remainders,fmod,f128,fmod,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,22.5727,43.0233,1.90599,qdpp (dd_real),-,-,-,1.55355,yes,-,-,-,-,-,-,35.0678,1.55355
Remainders,remainder,f128,remainder,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,35.0877,49.9355,1.42316,qdpp (dd_real),-,-,-,1.29908,yes,-,-,-,-,-,-,45.5815,1.29908
Remainders,remquo,f128,remquo,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,35.7898,49.9772,1.39641,boost::multiprecision::cpp_double_double,-,-,-,1.39641,no,-,-,-,-,-,-,-,-
Floating-point utilities,abs,f128,fabs,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.71627,4.49031,0.95209,boost::multiprecision::cpp_double_double,-,-,-,0.95209,yes,-,-,-,-,-,-,4.58368,0.971886
Floating-point utilities,fma,f128,fma,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,5.04221,17.6886,3.50811,boost::multiprecision::cpp_double_double,-,-,-,3.50811,no,-,-,-,-,-,-,-,-
Floating-point utilities,fmin,f128,fmin,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,5.60774,5.38776,0.960772,boost::multiprecision::cpp_double_double,-,-,-,0.960772,no,-,-,-,-,-,-,-,-
Floating-point utilities,fmax,f128,fmax,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,5.31468,5.87599,1.10561,boost::multiprecision::cpp_double_double,-,-,-,1.10561,no,-,-,-,-,-,-,-,-
Floating-point utilities,fdim,f128,fdim,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,5.9807,6.84958,1.14528,boost::multiprecision::cpp_double_double,-,-,-,1.14528,no,-,-,-,-,-,-,-,-
Floating-point utilities,copysign,f128,copysign,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.29662,4.32626,1.0069,boost::multiprecision::cpp_double_double,-,-,-,1.0069,no,-,-,-,-,-,-,-,-
Floating-point utilities,ldexp,f128,ldexp,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.28241,4.38003,1.02279,boost::multiprecision::cpp_double_double,-,-,-,1.02279,yes,-,-,-,-,-,-,7.4471,1.739
Floating-point utilities,scalbn,f128,scalbn,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.28803,4.36179,1.0172,boost::multiprecision::cpp_double_double,-,-,-,1.0172,yes,-,-,-,-,-,-,7.4703,1.74213
Floating-point utilities,scalbln,f128,scalbln,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.3192,4.40699,1.02033,boost::multiprecision::cpp_double_double,-,-,-,1.02033,yes,-,-,-,-,-,-,7.42949,1.72011
Floating-point utilities,frexp,f128,frexp,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,6.48841,6.45952,0.995546,boost::multiprecision::cpp_double_double,-,-,-,0.995546,no,-,-,-,-,-,-,-,-
Floating-point utilities,modf,f128,modf,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,6.83051,10.91,1.59724,boost::multiprecision::cpp_double_double,-,-,-,1.59724,no,-,-,-,-,-,-,-,-
Floating-point utilities,ilogb,f128,ilogb,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,2.17546,2.87943,1.32359,boost::multiprecision::cpp_double_double,-,-,-,1.32359,no,-,-,-,-,-,-,-,-
Floating-point utilities,logb,f128,logb,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.28377,98.8057,23.0651,boost::multiprecision::cpp_double_double,-,-,-,23.0651,no,-,-,-,-,-,-,-,-
Floating-point utilities,nextafter,f128,nextafter,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,7.75438,25.8727,3.33652,boost::multiprecision::cpp_double_double,-,-,-,3.33652,no,-,-,-,-,-,-,-,-
Floating-point utilities,nexttoward(type),f128,nexttoward,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,7.71458,25.8595,3.35203,boost::multiprecision::cpp_double_double,-,-,-,3.35203,no,-,-,-,-,-,-,-,-
Roots & powers,sqrt,f128,sqrt,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.34806,4.32267,0.99416,boost::multiprecision::cpp_double_double,-,-,-,0.99416,yes,-,-,-,-,-,-,8.0336,1.84763
Roots & powers,cbrt,f128,cbrt,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,23.7137,384.617,16.2192,qdpp (dd_real),-,-,-,3.35411,yes,-,-,-,-,-,-,79.5385,3.35411
Roots & powers,hypot,f128,hypot,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,13.2349,64.8938,4.90324,boost::multiprecision::cpp_double_double,-,-,-,4.90324,no,-,-,-,-,-,-,-,-
Roots & powers,pow,f128,pow,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,308.719,698.859,2.26374,qdpp (dd_real),-,-,-,1.18873,yes,-,-,-,-,-,-,366.983,1.18873
Exponentials,exp,f128,exp,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,132.403,314.246,2.37341,qdpp (dd_real),-,-,-,1.24827,yes,-,-,-,-,-,-,165.275,1.24827
Exponentials,exp2,f128,exp2,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,122.552,709.68,5.79086,boost::multiprecision::cpp_double_double,-,-,-,5.79086,no,-,-,-,-,-,-,-,-
Exponentials,expm1,f128,expm1,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,129.923,326.53,2.51327,qdpp (dd_real),-,-,-,1.25709,yes,-,-,-,-,-,-,163.324,1.25709
Logarithms,log,f128,log,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,160.049,349.812,2.18565,qdpp (dd_real),-,-,-,1.17514,yes,-,-,-,-,-,-,188.08,1.17514
Logarithms,log2,f128,log2,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,165.661,365.161,2.20426,boost::multiprecision::cpp_double_double,-,-,-,2.20426,no,-,-,-,-,-,-,-,-
Logarithms,log10,f128,log10,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,165.156,359.074,2.17416,qdpp (dd_real),-,-,-,1.28894,yes,-,-,-,-,-,-,212.877,1.28894
Logarithms,log1p,f128,log1p,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,160.582,457.924,2.85166,qdpp (dd_real),-,-,-,1.10999,yes,-,-,-,-,-,-,178.244,1.10999
Trigonometric,sin,f128,sin,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,108.847,625.209,5.74394,qdpp (dd_real),-,-,-,1.54271,yes,-,-,-,-,-,-,167.919,1.54271
Trigonometric,cos,f128,cos,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,109.318,638.981,5.84517,qdpp (dd_real),-,-,-,1.51991,yes,-,-,-,-,-,-,166.153,1.51991
Trigonometric,tan,f128,tan,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,129.745,1270.13,9.78946,qdpp (dd_real),-,-,-,1.4962,yes,-,-,-,No,-,-,194.124,1.4962
Trigonometric,asin,f128,asin,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,203,3353.67,16.5206,qdpp (dd_real),-,-,-,1.46321,yes,-,-,-,No,-,-,297.032,1.46321
Trigonometric,acos,f128,acos,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,208.282,3190.06,15.3161,qdpp (dd_real),-,-,-,1.42764,yes,-,-,-,No,-,-,297.351,1.42764
Trigonometric,atan,f128,atan,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,147.2,359.879,2.44483,qdpp (dd_real),-,-,-,1.45986,yes,-,-,-,No,-,-,214.891,1.45986
Trigonometric,atan2,f128,atan2,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,169.187,2050.48,12.1196,qdpp (dd_real),-,-,-,1.3048,yes,-,-,-,No,-,-,220.755,1.3048
Hyperbolic,sinh,f128,sinh,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,138.636,337.028,2.43102,qdpp (dd_real),-,-,-,1.38522,yes,-,-,-,-,-,-,192.041,1.38522
Hyperbolic,cosh,f128,cosh,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,138.623,335.529,2.42044,qdpp (dd_real),-,-,-,1.38314,yes,-,-,-,-,-,-,191.735,1.38314
Hyperbolic,tanh,f128,tanh,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,143.347,394.913,2.75494,qdpp (dd_real),-,-,-,1.39041,yes,-,-,-,-,-,-,199.312,1.39041
Inverse hyperbolic,asinh,f128,asinh,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,160.397,469.359,2.92623,qdpp (dd_real),-,-,-,1.30163,yes,-,-,-,-,-,-,208.777,1.30163
Inverse hyperbolic,acosh,f128,acosh,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,158.845,451.422,2.8419,qdpp (dd_real),-,-,-,1.27919,yes,-,-,-,-,-,-,203.194,1.27919
Inverse hyperbolic,atanh,f128,atanh,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,141.096,1533.37,10.8676,qdpp (dd_real),-,-,-,1.55038,yes,-,-,-,-,-,-,218.752,1.55038
Special functions,erfc,f128,erfc,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,1084.39,909.769,0.83897,boost::multiprecision::cpp_double_double,-,-,-,0.83897,no,-,-,-,-,-,-,-,-
Special functions,erf,f128,erf,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,1071.57,910.494,0.849683,boost::multiprecision::cpp_double_double,-,-,-,0.849683,no,-,-,-,-,-,-,-,-
Special functions,tgamma,f128,tgamma,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,563.458,1785.18,3.16826,boost::multiprecision::cpp_double_double,-,-,-,3.16826,no,-,-,-,-,-,-,-,-
Special functions,lgamma,f128,lgamma,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,586.021,1790.53,3.0554,boost::multiprecision::cpp_double_double,-,-,-,3.0554,no,-,-,-,-,-,-,-,-
Comparisons,operator==,f128,operator==,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,2.14394,2.33051,1.08703,qdpp (dd_real),-,-,-,1.00174,yes,-,-,-,-,-,-,2.14766,1.00174
