group,label,precision,operation,domain,domain_role,samples,primary_competitor,primary_competitor_supported,fltx_worst_bits,fltx_mean_bits,fltx_domain_score,fltx_inf_nan_correct,competitor_worst_bits,competitor_mean_bits,competitor_domain_score,competitor_inf_nan_correct,precision_gap_bits,domain_gap_pp,fltx_ns_iter,competitor_ns_iter,speed_ratio,preferred_reference,preferred_mean_gap_bits,preferred_worst_gap_bits,preferred_domain_gap_pp,preferred_speed_ratio,qdpp (qd_real)_supported,qdpp (qd_real)_worst_bits,qdpp (qd_real)_mean_bits,qdpp (qd_real)_domain_score,qdpp (qd_real)_inf_nan_correct,qdpp (qd_real)_gap_bits,qdpp (qd_real)_domain_gap_pp,qdpp (qd_real)_ns_iter,qdpp (qd_real)_speed_ratio
f256 <-> f256,add,f256,add,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,13.0929,77.4435,5.91491,qdpp (qd_real),-,-,-,2.8549,yes,-,-,-,-,-,-,37.379,2.8549
f256 <-> f256,subtract,f256,subtract,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,13.2693,78.1506,5.88957,qdpp (qd_real),-,-,-,2.90124,yes,-,-,-,-,-,-,38.4974,2.90124
f256 <-> f256,multiply,f256,multiply,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,23.5471,152.366,6.47068,qdpp (qd_real),-,-,-,1.50588,yes,-,-,-,-,-,-,35.4589,1.50588
f256 <-> f256,divide,f256,divide,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,82.9462,188.148,2.26831,boost::multiprecision::mpfr_float_backend<64>,-,-,-,2.26831,yes,-,-,-,-,-,-,272.746,3.28823
Mixed Workloads,affine trig transform,f256,affine transform,mixed,stress,28,boost::multiprecision::mpfr_float_backend<64>,yes,211.085,211.715,99.6764,-,214.628,215.967,100,-,-3.54282,-0.323583,1410.22,8128.55,5.76404,qdpp (qd_real),-6.41207,-5.66305,-0.323583,2.16952,yes,216.748,218.127,100,-,-5.66305,-0.323583,3059.49,2.16952
Mixed Workloads,mandelbrot kernel,f256,mandelbrot,mixed,stress,3072,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,148.933,619.902,4.16229,qdpp (qd_real),0,0,0,1.44615,yes,exact,320,100,-,0,0,215.38,1.44615
Mixed Workloads,mixed arithmetic,f256,mixed arithmetic,mixed,stress,196,boost::multiprecision::mpfr_float_backend<64>,yes,0,184.341,85.6147,-,207.146,214.099,99.596,-,-207.146,-13.9813,438.176,1621.67,3.70094,qdpp (qd_real),-32.6158,-208.541,-14.1529,2.19551,yes,208.541,216.957,99.7676,-,-208.541,-14.1529,962.019,2.19551
Rounding,floor,f256,floor,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,8.67224,44.9562,5.18392,qdpp (qd_real),-,-,-,1.00967,yes,-,-,-,-,-,-,8.75608,1.00967
Rounding,ceil,f256,ceil,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,8.5748,45.0378,5.25235,qdpp (qd_real),-,-,-,1.00543,yes,-,-,-,-,-,-,8.62132,1.00543
Rounding,trunc,f256,trunc,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,8.58377,44.7844,5.21733,qdpp (qd_real),-,-,-,1.00216,yes,-,-,-,-,-,-,8.60235,1.00216
Rounding,round,f256,round,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,9.0457,85.499,9.45189,qdpp (qd_real),-,-,-,1.57985,yes,-,-,-,-,-,-,14.2909,1.57985
Rounding,nearbyint,f256,nearbyint,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,8.968,85.5872,9.54362,qdpp (qd_real),-,-,-,1.60899,yes,-,-,-,-,-,-,14.4294,1.60899
Rounding,rint,f256,rint,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,8.99724,85.2371,9.47369,qdpp (qd_real),-,-,-,1.64241,yes,-,-,-,-,-,-,14.7771,1.64241
Rounding,lround,f256,lround,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,11.2553,103.044,9.15518,boost::multiprecision::mpfr_float_backend<64>,-,-,-,9.15518,no,-,-,-,-,-,-,-,-
Rounding,llround,f256,llround,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,11.2605,162.129,14.3981,boost::multiprecision::mpfr_float_backend<64>,-,-,-,14.3981,no,-,-,-,-,-,-,-,-
Rounding,lrint,f256,lrint,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,13.2735,102.478,7.72045,boost::multiprecision::mpfr_float_backend<64>,-,-,-,7.72045,no,-,-,-,-,-,-,-,-
Rounding,llrint,f256,llrint,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,13.1507,162.057,12.323,boost::multiprecision::mpfr_float_backend<64>,-,-,-,12.323,no,-,-,-,-,-,-,-,-
