group,label,precision,operation,domain,domain_role,samples,primary_competitor,primary_competitor_supported,fltx_worst_bits,fltx_mean_bits,fltx_domain_score,fltx_inf_nan_correct,competitor_worst_bits,competitor_mean_bits,competitor_domain_score,competitor_inf_nan_correct,precision_gap_bits,domain_gap_pp,fltx_ns_iter,competitor_ns_iter,speed_ratio,preferred_reference,preferred_mean_gap_bits,preferred_worst_gap_bits,preferred_domain_gap_pp,preferred_speed_ratio,qdpp (dd_real)_supported,qdpp (dd_real)_worst_bits,qdpp (dd_real)_mean_bits,qdpp (dd_real)_domain_score,qdpp (dd_real)_inf_nan_correct,qdpp (dd_real)_gap_bits,qdpp (dd_real)_domain_gap_pp,qdpp (dd_real)_ns_iter,qdpp (dd_real)_speed_ratio
f128 <-> f128,add,f128,add,primary,primary,8197,boost::multiprecision::cpp_double_double,yes,105.53,133.49,100,Yes,105.53,133.49,100,Yes,0,0,4.24812,8.34343,1.96403,qdpp (dd_real),0,0,0,1.00649,yes,105.53,133.49,100,No,0,0,4.27568,1.00649
f128 <-> f128,subtract,f128,subtract,primary,primary,8197,boost::multiprecision::cpp_double_double,yes,105.544,133.393,100,Yes,105.544,133.393,100,Yes,0,0,4.24075,8.41606,1.98457,qdpp (dd_real),0,0,0,1.02972,yes,105.544,133.393,100,No,0,0,4.36678,1.02972
f128 <-> f128,multiply,f128,multiply,primary,primary,8197,boost::multiprecision::cpp_double_double,yes,104.251,138.855,100,Yes,104.182,138.873,99.9551,No,0.0693723,0.0448786,4.42905,9.48258,2.141,qdpp (dd_real),0,0,0,0.958871,yes,104.251,138.855,100,No,0,0,4.24689,0.958871
f128 <-> f128,divide,f128,divide,primary,primary,8197,boost::multiprecision::cpp_double_double,yes,103.574,123.545,99.8759,Yes,103.574,123.545,99.8759,No,0,0,4.25234,9.02098,2.12142,boost::multiprecision::cpp_double_double,0,0,0,2.12142,yes,104.898,123.964,100,No,-1.32419,-0.124052,10.8841,2.55955
Mixed Workloads,affine trig transform,f128,affine transform,mixed,stress,28,boost::multiprecision::cpp_double_double,yes,109.179,109.227,100,-,105.205,107.24,99.4373,-,3.97402,0.562711,124.196,1406.34,11.3235,qdpp (dd_real),2.49603,4.99207,1.28303,1.57631,yes,104.187,106.731,98.717,-,4.99207,1.28303,195.772,1.57631
Mixed Workloads,mandelbrot kernel,f128,mandelbrot,mixed,stress,3072,boost::multiprecision::cpp_double_double,yes,3.41619,152.228,51.3273,-,3.54951,152.561,51.36,-,-0.133319,-0.0326876,13.7099,57.7842,4.21479,qdpp (dd_real),1.83759,-0.185565,0.724835,0.96905,yes,3.60175,150.39,50.6024,-,-0.185565,0.724835,13.2855,0.96905
Mixed Workloads,mixed arithmetic,f128,mixed arithmetic,mixed,stress,196,boost::multiprecision::cpp_double_double,yes,98.1304,107.646,98.9574,-,98.1304,107.646,98.9574,-,0,0,35.6964,153.258,4.29337,qdpp (dd_real),1.83934,2.84315,0.978005,1.70358,yes,95.2873,105.806,97.9794,-,2.84315,0.978005,60.8118,1.70358
Rounding,floor,f128,floor,primary,primary,8198,boost::multiprecision::cpp_double_double,yes,exact,160,100,Yes,exact,160,79.9488,No,0,20.0512,4.22295,6.21715,1.47223,qdpp (dd_real),0,0,0,0.994562,yes,exact,160,100,No,0,0,4.19999,0.994562
Rounding,ceil,f128,ceil,primary,primary,8198,boost::multiprecision::cpp_double_double,yes,exact,160,100,Yes,exact,160,79.9488,No,0,20.0512,4.20182,7.80282,1.85701,qdpp (dd_real),0,0,0,0.999797,yes,exact,160,100,No,0,0,4.20096,0.999797
Rounding,trunc,f128,trunc,primary,primary,8198,boost::multiprecision::cpp_double_double,yes,exact,160,100,Yes,exact,160,100,No,0,0,4.21715,8.80833,2.08869,qdpp (dd_real),0,0,0,1.03458,yes,exact,160,100,No,0,0,4.36299,1.03458
Rounding,round,f128,round,primary,primary,8198,boost::multiprecision::cpp_double_double,yes,exact,160,100,Yes,exact,160,100,No,0,0,4.90181,13.76,2.80714,boost::multiprecision::cpp_double_double,0,0,0,2.80714,yes,11.7211,142.131,79.8701,No,exact,20.1299,4.22045,0.860998
Rounding,nearbyint,f128,nearbyint,primary,primary,8198,boost::multiprecision::cpp_double_double,yes,exact,160,79.9269,Yes,exact,160,100,No,0,-20.0731,6.22285,13.7494,2.2095,boost::multiprecision::cpp_double_double,0,0,-20.0731,2.2095,yes,11.7211,142.131,79.8701,No,exact,0.0567541,4.22264,0.67857
Rounding,rint,f128,rint,primary,primary,8198,boost::multiprecision::cpp_double_double,yes,exact,160,79.9269,Yes,exact,160,100,No,0,-20.0731,6.21995,13.8059,2.21961,boost::multiprecision::cpp_double_double,0,0,-20.0731,2.21961,yes,11.7211,142.131,79.8703,No,exact,0.0566046,4.22071,0.678575
Rounding,lround,f128,lround,primary,primary,8198,boost::multiprecision::cpp_double_double,yes,exact,160,100,-,exact,160,100,-,0,0,13.8702,27.3693,1.97325,boost::multiprecision::cpp_double_double,0,0,0,1.97325,no,-,-,-,-,-,-,-,-
Rounding,llround,f128,llround,primary,primary,8198,boost::multiprecision::cpp_double_double,yes,exact,160,100,-,exact,160,100,-,0,0,13.8015,435.737,31.5718,boost::multiprecision::cpp_double_double,0,0,0,31.5718,no,-,-,-,-,-,-,-,-
Rounding,lrint,f128,lrint,primary,primary,8198,boost::multiprecision::cpp_double_double,yes,exact,160,100,-,exact,160,79.9244,-,0,20.0756,13.9962,27.3714,1.95564,boost::multiprecision::cpp_double_double,0,0,20.0756,1.95564,no,-,-,-,-,-,-,-,-
