group,label,precision,operation,domain,domain_role,samples,primary_competitor,primary_competitor_supported,fltx_worst_bits,fltx_mean_bits,fltx_domain_score,fltx_inf_nan_correct,competitor_worst_bits,competitor_mean_bits,competitor_domain_score,competitor_inf_nan_correct,precision_gap_bits,domain_gap_pp,fltx_ns_iter,competitor_ns_iter,speed_ratio,preferred_reference,preferred_mean_gap_bits,preferred_worst_gap_bits,preferred_domain_gap_pp,preferred_speed_ratio,qdpp (qd_real)_supported,qdpp (qd_real)_worst_bits,qdpp (qd_real)_mean_bits,qdpp (qd_real)_domain_score,qdpp (qd_real)_inf_nan_correct,qdpp (qd_real)_gap_bits,qdpp (qd_real)_domain_gap_pp,qdpp (qd_real)_ns_iter,qdpp (qd_real)_speed_ratio
f256 <-> f256,add,f256,add,primary,primary,209,boost::multiprecision::mpfr_float_backend<64>,yes,215.351,259.338,100,Yes,153.119,224.36,100,Yes,62.2318,0,13.4032,54.4469,4.06225,qdpp (qd_real),0,0,0,2.13086,yes,215.351,259.338,100,No,0,0,28.5602,2.13086
f256 <-> f256,subtract,f256,subtract,primary,primary,209,boost::multiprecision::mpfr_float_backend<64>,yes,215.533,259.008,100,Yes,153.759,226.925,100,Yes,61.7736,0,15.8712,67.8963,4.27796,qdpp (qd_real),0,0,0,1.87149,yes,215.533,259.008,100,No,0,0,29.7028,1.87149
f256 <-> f256,multiply,f256,multiply,primary,primary,209,boost::multiprecision::mpfr_float_backend<64>,yes,215.21,250.493,100,Yes,212.896,245.982,100,Yes,2.31408,0,17.705,61.2581,3.45993,qdpp (qd_real),0,0,0,1.22133,yes,215.21,250.493,100,No,0,0,21.6236,1.22133
f256 <-> f256,divide,f256,divide,primary,primary,209,boost::multiprecision::mpfr_float_backend<64>,yes,214.829,233.603,100,Yes,213.204,227.513,100,Yes,1.62497,0,70.706,110.136,1.55767,boost::multiprecision::mpfr_float_backend<64>,6.09,1.62497,0,1.55767,yes,214.829,233.944,100,No,0,0,295.187,4.17486
Mixed Workloads,affine trig transform,f256,affine transform,mixed,stress,28,boost::multiprecision::mpfr_float_backend<64>,yes,217.111,217.208,100,-,214.628,215.967,100,-,2.48274,0,1283.71,4400.75,3.42815,qdpp (qd_real),-0.919407,0.36251,0,2.14509,yes,216.748,218.127,100,-,0.36251,0,2753.67,2.14509
Mixed Workloads,mandelbrot kernel,f256,mandelbrot,mixed,stress,3072,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,132.27,384.833,2.90945,qdpp (qd_real),0,0,0,1.60279,yes,exact,320,100,-,0,0,212.002,1.60279
Mixed Workloads,mixed arithmetic,f256,mixed arithmetic,mixed,stress,196,boost::multiprecision::mpfr_float_backend<64>,yes,210.229,217.287,99.9094,-,203.263,213.814,99.3502,-,6.96633,0.559193,381.176,1024.44,2.68757,qdpp (qd_real),0.209399,0.474229,0.0228703,2.6505,yes,209.755,217.077,99.8865,-,0.474229,0.0228703,1010.31,2.6505
IO,"to_string(big-dec, 15, default)",f256,"to_string(big-dec, 15, default)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,47.6408,51.1813,23.377,-,47.6408,51.1813,23.377,-,0,0,279.5,598.475,2.14123,boost::multiprecision::mpfr_float_backend<64>,0,0,0,2.14123,no,-,-,-,-,-,-,-,-
IO,"to_string(big-dec, 15, fixed)",f256,"to_string(big-dec, 15, fixed)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,91.341,116.522,48.9832,-,91.341,116.101,48.9832,-,0,0,547.95,997.2,1.81987,qdpp (qd_real),0.0700822,0,0,24.8008,yes,91.341,116.452,48.9832,-,0,0,13589.6,24.8008
IO,"to_string(big-dec, 15, hexfloat)",f256,"to_string(big-dec, 15, hexfloat)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,no,213.011,221.729,100,-,-,-,-,-,-,-,184.05,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-
