group,label,precision,operation,domain,domain_role,samples,primary_competitor,primary_competitor_supported,fltx_worst_bits,fltx_mean_bits,fltx_domain_score,fltx_inf_nan_correct,competitor_worst_bits,competitor_mean_bits,competitor_domain_score,competitor_inf_nan_correct,precision_gap_bits,domain_gap_pp,fltx_ns_iter,competitor_ns_iter,speed_ratio,preferred_reference,preferred_mean_gap_bits,preferred_worst_gap_bits,preferred_domain_gap_pp,preferred_speed_ratio,qdpp (dd_real)_supported,qdpp (dd_real)_worst_bits,qdpp (dd_real)_mean_bits,qdpp (dd_real)_domain_score,qdpp (dd_real)_inf_nan_correct,qdpp (dd_real)_gap_bits,qdpp (dd_real)_domain_gap_pp,qdpp (dd_real)_ns_iter,qdpp (dd_real)_speed_ratio
f128 <-> f128,add,f128,add,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.38518,8.50393,1.93925,qdpp (dd_real),-,-,-,1.00551,yes,-,-,-,-,-,-,4.40935,1.00551
f128 <-> f128,subtract,f128,subtract,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.37049,9.14442,2.09231,qdpp (dd_real),-,-,-,0.99691,yes,-,-,-,-,-,-,4.35698,0.99691
f128 <-> f128,multiply,f128,multiply,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.35062,123.726,28.4388,qdpp (dd_real),-,-,-,0.980308,yes,-,-,-,-,-,-,4.26495,0.980308
f128 <-> f128,divide,f128,divide,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.29623,127.834,29.755,qdpp (dd_real),-,-,-,3.33167,yes,-,-,-,-,-,-,14.3136,3.33167
Mixed Workloads,affine trig transform,f128,affine transform,mixed,stress,28,boost::multiprecision::cpp_double_double,yes,109.179,109.227,100,-,105.205,107.24,99.4373,-,3.97402,0.562711,139.573,15260.4,109.336,qdpp (dd_real),2.49603,4.99207,1.28303,2.3639,yes,104.187,106.731,98.717,-,4.99207,1.28303,329.936,2.3639
Mixed Workloads,mandelbrot kernel,f128,mandelbrot,mixed,stress,3072,boost::multiprecision::cpp_double_double,yes,3.41619,152.228,51.3273,-,3.54951,152.561,51.36,-,-0.133319,-0.0326876,13.5596,363.729,26.8246,qdpp (dd_real),1.83759,-0.185565,0.724835,1.19438,yes,3.60175,150.39,50.6024,-,-0.185565,0.724835,16.1952,1.19438
Mixed Workloads,mixed arithmetic,f128,mixed arithmetic,mixed,stress,196,boost::multiprecision::cpp_double_double,yes,99.4338,107.795,99.1173,-,99.4338,107.795,99.1173,-,0,0,43.1781,1082.55,25.0718,qdpp (dd_real),1.97331,2.99741,1.00997,2.29361,yes,96.4364,105.821,98.1073,-,2.99741,1.00997,99.0337,2.29361
Rounding,floor,f128,floor,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.23784,4.24896,1.00262,qdpp (dd_real),-,-,-,1.00026,yes,-,-,-,-,-,-,4.23892,1.00026
Rounding,ceil,f128,ceil,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.26876,4.39068,1.02856,qdpp (dd_real),-,-,-,0.989259,yes,-,-,-,-,-,-,4.22291,0.989259
Rounding,trunc,f128,trunc,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,5.46004,8.44321,1.54636,qdpp (dd_real),-,-,-,0.832928,yes,-,-,-,-,-,-,4.54782,0.832928
Rounding,round,f128,round,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.87949,12.7644,2.61593,boost::multiprecision::cpp_double_double,-,-,-,2.61593,yes,-,-,-,-,-,-,13.0547,2.67541
Rounding,nearbyint,f128,nearbyint,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,6.43908,11.4529,1.77865,boost::multiprecision::cpp_double_double,-,-,-,1.77865,yes,-,-,-,-,-,-,12.8222,1.9913
Rounding,rint,f128,rint,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,6.36221,11.6827,1.83626,boost::multiprecision::cpp_double_double,-,-,-,1.83626,yes,-,-,-,-,-,-,12.8563,2.02073
Rounding,lround,f128,lround,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,10.4627,24.1469,2.3079,boost::multiprecision::cpp_double_double,-,-,-,2.3079,no,-,-,-,-,-,-,-,-
Rounding,llround,f128,llround,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,12.2635,115.234,9.39649,boost::multiprecision::cpp_double_double,-,-,-,9.39649,no,-,-,-,-,-,-,-,-
Rounding,lrint,f128,lrint,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,14.2186,24.4363,1.71862,boost::multiprecision::cpp_double_double,-,-,-,1.71862,no,-,-,-,-,-,-,-,-
Rounding,llrint,f128,llrint,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,13.6452,117.527,8.61305,boost::multiprecision::cpp_double_double,-,-,-,8.61305,no,-,-,-,-,-,-,-,-
Remainders,fmod,f128,fmod,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,31.02,227.256,7.32612,qdpp (dd_real),-,-,-,1.02238,yes,-,-,-,-,-,-,31.7143,1.02238
Remainders,remainder,f128,remainder,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,33.3039,226.289,6.79465,qdpp (dd_real),-,-,-,1.29383,yes,-,-,-,-,-,-,43.0895,1.29383
Remainders,remquo,f128,remquo,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,32.8868,225.833,6.86699,boost::multiprecision::cpp_double_double,-,-,-,6.86699,no,-,-,-,-,-,-,-,-
Floating-point utilities,abs,f128,fabs,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.24718,4.30679,1.01403,qdpp (dd_real),-,-,-,1.00361,yes,-,-,-,-,-,-,4.26252,1.00361
Floating-point utilities,fma,f128,fma,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.65819,132.581,28.4618,boost::multiprecision::cpp_double_double,-,-,-,28.4618,no,-,-,-,-,-,-,-,-
Floating-point utilities,fmin,f128,fmin,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.28733,4.296,1.00202,boost::multiprecision::cpp_double_double,-,-,-,1.00202,no,-,-,-,-,-,-,-,-
Floating-point utilities,fmax,f128,fmax,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.31754,4.26944,0.988859,boost::multiprecision::cpp_double_double,-,-,-,0.988859,no,-,-,-,-,-,-,-,-
Floating-point utilities,fdim,f128,fdim,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.29704,8.49163,1.97616,boost::multiprecision::cpp_double_double,-,-,-,1.97616,no,-,-,-,-,-,-,-,-
Floating-point utilities,copysign,f128,copysign,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.34313,5.20456,1.19834,boost::multiprecision::cpp_double_double,-,-,-,1.19834,no,-,-,-,-,-,-,-,-
Floating-point utilities,ldexp,f128,ldexp,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.31156,11.7286,2.72027,qdpp (dd_real),-,-,-,2.50153,yes,-,-,-,-,-,-,10.7855,2.50153
Floating-point utilities,scalbn,f128,scalbn,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.22246,9.51813,2.25416,boost::multiprecision::cpp_double_double,-,-,-,2.25416,yes,-,-,-,-,-,-,9.98095,2.36377
Floating-point utilities,scalbln,f128,scalbln,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.29577,11.238,2.61607,qdpp (dd_real),-,-,-,2.24047,yes,-,-,-,-,-,-,9.62454,2.24047
Floating-point utilities,frexp,f128,frexp,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,6.52404,11.9792,1.83617,boost::multiprecision::cpp_double_double,-,-,-,1.83617,no,-,-,-,-,-,-,-,-
Floating-point utilities,modf,f128,modf,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,7.28454,12.6286,1.73362,boost::multiprecision::cpp_double_double,-,-,-,1.73362,no,-,-,-,-,-,-,-,-
