group,label,precision,operation,domain,domain_role,samples,primary_competitor,primary_competitor_supported,fltx_worst_bits,fltx_mean_bits,fltx_domain_score,fltx_inf_nan_correct,competitor_worst_bits,competitor_mean_bits,competitor_domain_score,competitor_inf_nan_correct,precision_gap_bits,domain_gap_pp,fltx_ns_iter,competitor_ns_iter,speed_ratio,preferred_reference,preferred_mean_gap_bits,preferred_worst_gap_bits,preferred_domain_gap_pp,preferred_speed_ratio,qdpp (qd_real)_supported,qdpp (qd_real)_worst_bits,qdpp (qd_real)_mean_bits,qdpp (qd_real)_domain_score,qdpp (qd_real)_inf_nan_correct,qdpp (qd_real)_gap_bits,qdpp (qd_real)_domain_gap_pp,qdpp (qd_real)_ns_iter,qdpp (qd_real)_speed_ratio
f256 <-> f256,add,f256,add,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,13.7069,66.7807,4.87203,qdpp (qd_real),-,-,-,3.03365,yes,-,-,-,-,-,-,41.5821,3.03365
f256 <-> f256,subtract,f256,subtract,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,13.803,67.0719,4.85924,qdpp (qd_real),-,-,-,3.04047,yes,-,-,-,-,-,-,41.9675,3.04047
f256 <-> f256,multiply,f256,multiply,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,19.8186,85.2941,4.30374,qdpp (qd_real),-,-,-,2.37454,yes,-,-,-,-,-,-,47.0601,2.37454
f256 <-> f256,divide,f256,divide,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,84.995,121.63,1.43103,boost::multiprecision::mpfr_float_backend<64>,-,-,-,1.43103,yes,-,-,-,-,-,-,326.079,3.83645
Mixed Workloads,affine trig transform,f256,affine transform,mixed,stress,28,boost::multiprecision::mpfr_float_backend<64>,yes,211.085,211.715,99.6764,-,214.628,215.967,100,-,-3.54282,-0.323583,1330.89,6439.97,4.83884,qdpp (qd_real),-6.41207,-5.66305,-0.323583,3.14764,yes,216.748,218.127,100,-,-5.66305,-0.323583,4189.16,3.14764
Mixed Workloads,mandelbrot kernel,f256,mandelbrot,mixed,stress,3072,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,138.573,506.513,3.6552,qdpp (qd_real),0,0,0,1.67529,yes,exact,320,100,-,0,0,232.151,1.67529
Mixed Workloads,mixed arithmetic,f256,mixed arithmetic,mixed,stress,196,boost::multiprecision::mpfr_float_backend<64>,yes,205.264,213.582,99.4457,-,207.626,213.954,99.6266,-,-2.36159,-0.180957,380.019,2022.68,5.32259,qdpp (qd_real),-3.65589,-4.70507,-0.418591,3.68383,yes,209.969,217.238,99.8643,-,-4.70507,-0.418591,1399.92,3.68383
Rounding,floor,f256,floor,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,8.77948,52.359,5.96379,qdpp (qd_real),-,-,-,1.00055,yes,-,-,-,-,-,-,8.78434,1.00055
Rounding,ceil,f256,ceil,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,8.77176,51.4695,5.86764,qdpp (qd_real),-,-,-,0.999774,yes,-,-,-,-,-,-,8.76978,0.999774
Rounding,trunc,f256,trunc,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,8.87637,50.7861,5.72149,qdpp (qd_real),-,-,-,0.998195,yes,-,-,-,-,-,-,8.86035,0.998195
Rounding,round,f256,round,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,10.1017,124.138,12.2888,qdpp (qd_real),-,-,-,1.49246,yes,-,-,-,-,-,-,15.0763,1.49246
Rounding,nearbyint,f256,nearbyint,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,8.80133,131.835,14.9789,qdpp (qd_real),-,-,-,1.64687,yes,-,-,-,-,-,-,14.4946,1.64687
Rounding,rint,f256,rint,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,8.83529,131.948,14.9342,qdpp (qd_real),-,-,-,1.65756,yes,-,-,-,-,-,-,14.645,1.65756
Rounding,lround,f256,lround,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,11.0572,171.244,15.4872,boost::multiprecision::mpfr_float_backend<64>,-,-,-,15.4872,no,-,-,-,-,-,-,-,-
Rounding,llround,f256,llround,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,11.4036,272.166,23.8667,boost::multiprecision::mpfr_float_backend<64>,-,-,-,23.8667,no,-,-,-,-,-,-,-,-
Rounding,lrint,f256,lrint,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,11.7251,171.955,14.6656,boost::multiprecision::mpfr_float_backend<64>,-,-,-,14.6656,no,-,-,-,-,-,-,-,-
Rounding,llrint,f256,llrint,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,11.2212,281.155,25.0556,boost::multiprecision::mpfr_float_backend<64>,-,-,-,25.0556,no,-,-,-,-,-,-,-,-
Remainders,fmod,f256,fmod,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,116.541,316.689,2.71742,boost::multiprecision::mpfr_float_backend<64>,-,-,-,2.71742,yes,-,-,-,-,-,-,450.805,3.86822
Remainders,remainder,f256,remainder,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,251.811,354.17,1.40649,boost::multiprecision::mpfr_float_backend<64>,-,-,-,1.40649,yes,-,-,-,-,-,-,464.619,1.84511
Remainders,remquo,f256,remquo,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,263.409,356.482,1.35334,boost::multiprecision::mpfr_float_backend<64>,-,-,-,1.35334,no,-,-,-,-,-,-,-,-
Floating-point utilities,abs,f256,fabs,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,8.79319,44.4541,5.05552,qdpp (qd_real),-,-,-,0.997034,yes,-,-,-,-,-,-,8.76711,0.997034
Floating-point utilities,fma,f256,fma,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,33.857,122.388,3.61486,boost::multiprecision::mpfr_float_backend<64>,-,-,-,3.61486,no,-,-,-,-,-,-,-,-
Floating-point utilities,fmin,f256,fmin,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,8.81723,70.7229,8.02098,boost::multiprecision::mpfr_float_backend<64>,-,-,-,8.02098,no,-,-,-,-,-,-,-,-
Floating-point utilities,fmax,f256,fmax,primary,primary,-,boost::multiprecision::mpfr_float_backend<64>,yes,-,-,-,-,-,-,-,-,-,-,8.92987,69.5174,7.78482,boost::multiprecision::mpfr_float_backend<64>,-,-,-,7.78482,no,-,-,-,-,-,-,-,-
